,precision,recall,f1-score,support
0.0,0.9198128967591046,0.7597416933436362,0.8321494423117612,18118.0
1.0,0.31413612565445026,0.1079136690647482,0.1606425702811245,556.0
2.0,0.2085222121486854,0.15883977900552487,0.1803214425715406,1448.0
3.0,0.050594097355308544,0.8148148148148148,0.09527246481414652,162.0
4.0,0.4751984126984127,0.8936567164179104,0.6204663212435233,1608.0
accuracy,0.7136853645167185,0.7136853645167185,0.7136853645167185,0.7136853645167185
macro avg,0.39365274892319235,0.5469933345293269,0.37777044824441924,21892.0
weighted avg,0.8182936782353021,0.7136853645167185,0.750979823569517,21892.0
