,precision,recall,f1-score,support
0.0,0.9755115547956539,0.9762115023733304,0.9758614030731884,18118.0
1.0,0.6491862567811935,0.64568345323741,0.6474301172227231,556.0
2.0,0.8667131891137474,0.8577348066298343,0.8622006247830614,1448.0
3.0,0.5443786982248521,0.5679012345679012,0.5558912386706948,162.0
4.0,0.9389788293897883,0.9378109452736318,0.9383945239576852,1608.0
accuracy,0.954138498081491,0.954138498081491,0.954138498081491,0.954138498081491
macro avg,0.7949537056610471,0.7970683884164215,0.7959555815414705,21892.0
weighted avg,0.9541537508297967,0.954138498081491,0.9541424870240426,21892.0
