,precision,recall,f1-score,support
0.0,0.9672174982619391,0.9982338006402472,0.9824809191406144,18118.0
1.0,0.9631901840490797,0.564748201438849,0.7120181405895692,556.0
2.0,0.9667182662538699,0.8625690607734806,0.9116788321167884,1448.0
3.0,0.75,0.48148148148148145,0.5864661654135339,162.0
4.0,0.9959211420802175,0.9110696517412935,0.9516076648262423,1608.0
accuracy,0.9680248492600037,0.9680248492600037,0.9680248492600037,0.9680248492600037
macro avg,0.9286094181290213,0.7636204392150704,0.8288503444173496,21892.0
weighted avg,0.9675831181181114,0.9680248492600037,0.9657306309108418,21892.0
