,precision,recall,f1-score,support
0.0,0.9727057812164195,0.9992272877801082,0.9857881840457392,18118.0
1.0,0.9794721407624634,0.6007194244604317,0.7447045707915273,556.0
2.0,0.9846035411855273,0.8832872928176796,0.931197670185657,1448.0
3.0,0.8869565217391304,0.6296296296296297,0.7364620938628159,162.0
4.0,0.9934426229508196,0.9421641791044776,0.967124162144909,1608.0
accuracy,0.9745112369815457,0.9745112369815457,0.9745112369815457,0.9745112369815457
macro avg,0.963436121570872,0.8110055627584654,0.8730553362061297,21892.0
weighted avg,0.9745531918603287,0.9745112369815457,0.9728386076312998,21892.0
