,precision,recall,f1-score,support
0.0,0.9804485961005811,0.9964124075505023,0.9883660452766144,18118.0
1.0,0.9191919191919192,0.6546762589928058,0.7647058823529412,556.0
2.0,0.9671532846715328,0.9150552486187845,0.9403832505322923,1448.0
3.0,0.8028169014084507,0.7037037037037037,0.75,162.0
4.0,0.991725015913431,0.9689054726368159,0.980182447310475,1608.0
accuracy,0.9781655399232596,0.9781655399232596,0.9781655399232596,0.9781655399232596
macro avg,0.9322671434571831,0.8477506183005226,0.8847275250944646,21892.0
weighted avg,0.9775272469871359,0.9781655399232596,0.9771469395649524,21892.0
